aX,aY,aZ,gX,gY,gZ
-0.423,0.084,1.025,-3.052,36.987,-5.798
-0.415,0.105,1.038,-7.141,35.095,-5.920
-0.417,0.107,1.039,-7.263,34.302,-5.371
-0.427,0.094,1.024,-5.493,35.278,-4.089
-0.426,0.117,0.987,-4.700,36.438,-1.648
-0.446,0.137,0.955,-4.333,35.034,0.549
-0.452,0.126,0.960,-5.920,31.128,0.000
-0.449,0.132,0.967,-5.859,27.588,-0.244
-0.456,0.134,0.964,-4.822,25.269,-0.122
-0.439,0.144,0.956,-4.089,23.376,-0.793
-0.437,0.160,0.954,-1.526,20.691,-1.465
-0.439,0.182,0.953,2.625,17.456,-2.441
-0.428,0.171,0.949,8.118,14.221,-3.784
-0.428,0.122,0.939,15.625,11.658,-4.395
-0.434,0.108,0.921,17.029,10.315,-2.686
-0.411,0.121,0.914,12.024,9.705,-0.732
-0.387,0.139,0.919,7.263,8.423,-0.244
-0.379,0.141,0.937,6.409,6.775,-1.526
-0.365,0.140,0.961,6.714,6.165,-2.502
-0.348,0.146,0.977,8.972,7.751,-2.869
-0.348,0.132,0.970,11.963,11.230,-3.906
-0.329,0.113,0.930,13.611,14.343,-3.906
-0.331,0.135,0.942,12.878,15.381,-2.441
-0.329,0.140,0.904,14.099,16.663,-2.075
-0.337,0.117,0.858,14.038,16.785,-3.418
-0.310,-0.004,0.874,11.780,15.442,1.099
-0.333,0.080,0.889,10.010,15.503,15.625
-0.356,0.125,0.898,11.475,14.587,18.616
-0.345,0.104,0.928,6.531,12.878,10.193
-0.320,0.046,0.960,1.404,13.428,0.183
-0.314,0.056,0.972,-1.953,18.921,-0.732
-0.310,0.069,0.989,-4.211,26.062,0.977
-0.319,0.088,0.966,-4.272,32.471,1.099
-0.314,0.101,0.958,-5.493,33.936,-1.282
-0.307,0.119,0.959,-7.141,33.203,-6.592
-0.305,0.087,0.949,-7.263,33.081,-13.733
-0.317,0.055,0.938,-4.456,32.654,-17.700
-0.338,0.043,0.946,-2.808,31.372,-17.029
-0.348,0.026,0.922,-3.784,29.114,-13.977
-0.317,0.005,0.926,-6.653,22.522,-8.484
-0.282,0.083,0.973,-11.047,14.709,-1.770
-0.282,0.105,1.001,-12.268,12.024,0.732
-0.271,0.094,0.992,-12.024,12.512,1.099
-0.262,0.099,0.994,-12.756,12.390,3.723
-0.261,0.120,1.013,-14.343,12.146,7.202
-0.276,0.135,1.037,-15.076,12.390,10.010
-0.280,0.132,1.053,-15.930,13.245,10.681
-0.265,0.130,1.058,-16.418,14.893,11.047
-0.262,0.129,1.085,-16.357,17.334,11.780
-0.251,0.148,1.086,-14.526,21.729,13.245
-0.265,0.151,1.045,-10.986,26.367,13.855
-0.259,0.135,0.982,-10.010,27.710,13.245
-0.243,0.114,0.964,-11.108,21.790,12.939
-0.246,0.122,1.001,-12.939,14.343,13.611
-0.226,0.116,1.026,-14.893,13.428,12.756
-0.210,0.117,0.977,-15.381,17.700,12.512

-0.405,-0.233,1.051,99.487,25.879,19.348
-0.524,-0.085,1.812,79.712,-38.757,19.348
-0.387,-0.252,2.027,55.237,-85.083,-13.367
-0.340,-0.311,2.345,36.682,-71.838,-17.151
-0.340,-0.289,1.854,22.888,-20.203,-11.230
-0.474,-0.167,1.810,1.221,-6.348,3.601
-0.453,-0.219,1.659,-11.963,-6.775,-3.174
-0.508,-0.250,1.659,-13.000,-13.245,-9.338
-0.576,-0.253,1.750,-10.193,-25.391,-12.939
-0.626,-0.240,1.760,-5.737,-30.518,-17.944
-0.618,-0.309,1.776,-3.906,-33.813,-21.973
-0.553,-0.271,1.746,-3.540,-32.776,-20.081
-0.490,-0.212,1.679,-4.333,-28.992,-17.395
-0.492,-0.183,1.648,-7.263,-25.269,-15.808
-0.503,-0.185,1.555,-13.000,-19.897,-11.963
-0.487,-0.179,1.475,-22.217,-15.442,-9.705
-0.503,-0.189,1.381,-28.625,-13.123,-5.127
-0.524,-0.193,1.316,-32.654,-11.963,-2.380
-0.540,-0.211,1.301,-35.950,-14.038,-1.404
-0.565,-0.205,1.294,-37.354,-13.672,-0.427
-0.567,-0.219,1.308,-36.499,-10.559,-1.404
-0.576,-0.224,1.389,-35.950,-7.690,-3.296
-0.594,-0.202,1.478,-35.706,-3.601,-4.333
-0.611,-0.185,1.580,-35.095,1.465,-6.531
-0.627,-0.147,1.674,-35.034,6.226,-8.972
-0.621,-0.117,1.749,-36.011,8.911,-12.207
-0.597,-0.104,1.810,-37.659,9.094,-16.541
-0.578,-0.066,1.842,-40.039,8.728,-18.860
-0.533,-0.019,1.801,-44.495,8.484,-22.339
-0.462,-0.041,1.725,-50.842,3.052,-28.931
-0.381,-0.041,1.636,-59.875,-4.700,-31.921
-0.326,-0.047,1.498,-68.054,-11.353,-31.128
-0.233,-0.040,1.350,-74.524,-18.555,-27.527
-0.148,-0.056,1.222,-74.158,-28.503,-20.142
-0.093,-0.050,1.083,-73.608,-32.410,-10.742
-0.055,-0.034,0.929,-76.050,-29.602,-2.747
-0.033,-0.031,0.755,-76.294,-25.818,3.662
-0.004,0.020,0.568,-76.965,-23.315,11.292
0.026,0.056,0.375,-80.994,-22.339,14.282
0.023,0.079,0.169,-79.529,-23.499,11.597
