aX,aY,aZ,gX,gY,gZ
0.026,0.112,0.934,-19.653,27.832,-1.404
0.046,0.118,0.932,-16.296,22.156,-1.404
0.057,0.125,0.954,-11.658,16.235,-1.587
0.050,0.112,0.955,-9.888,11.658,-2.441
0.053,0.104,0.961,-8.728,6.226,-2.991
0.078,0.115,0.970,-7.202,-0.671,-3.296

-0.319,0.029,2.425,85.938,25.085,84.717
-0.291,-0.081,2.743,67.383,23.132,89.600
-0.331,-0.197,2.865,51.147,23.071,92.224
-0.330,-0.258,2.768,22.339,16.113,91.248
-0.288,-0.263,2.702,-28.320,-5.005,84.045
-0.203,-0.207,2.643,-75.317,-30.212,73.853
-0.120,-0.178,2.359,-105.774,-35.339,66.895
-0.013,-0.073,2.040,-136.414,-33.020,61.646
0.115,-0.002,1.749,-158.875,-32.288,56.091
0.210,0.041,1.405,-170.776,-30.579,54.565
0.222,0.155,1.116,-170.166,-23.926,60.486
0.245,0.260,0.793,-163.574,-16.113,68.726
0.187,0.374,0.456,-151.306,-12.268,74.097
0.109,0.429,0.190,-127.258,-14.587,69.031
0.084,0.492,0.058,-99.365,-19.531,55.786
0.095,0.488,0.001,-71.533,-29.419,38.147
0.133,0.448,-0.017,-46.082,-40.710,20.874
0.170,0.363,-0.057,-20.691,-48.279,9.399
0.157,0.310,-0.025,-0.305,-51.208,5.798
0.187,0.202,-0.062,9.583,-50.232,6.714
0.178,0.179,-0.063,10.315,-37.964,9.949
0.212,0.081,-0.172,18.311,-22.583,13.245
0.230,0.052,-0.157,18.738,-12.390,17.334
0.215,0.007,-0.109,27.161,-9.033,22.644
0.203,-0.005,-0.068,36.560,-7.080,24.353
0.194,-0.050,-0.035,45.166,-6.226,21.729
0.190,-0.062,0.023,50.415,-6.958,16.235
0.195,-0.088,0.031,54.626,-10.315,8.728
0.195,-0.104,0.001,58.228,-15.198,-0.427
0.174,-0.118,0.002,65.430,-21.667,-9.033
0.181,-0.147,0.017,73.181,-25.696,-16.052
0.180,-0.187,0.065,80.139,-29.785,-20.203
0.147,-0.240,0.164,88.257,-35.156,-22.644
0.125,-0.291,0.296,90.881,-37.964,-22.888
0.122,-0.360,0.452,85.571,-36.682,-21.790
0.118,-0.391,0.544,73.181,-29.358,-17.151
0.115,-0.381,0.564,58.167,-19.287,-9.888
0.112,-0.368,0.578,44.800,-12.268,-2.808
0.099,-0.351,0.573,33.203,-5.676,4.639
0.055,-0.298,0.518,22.705,4.517,13.000
0.005,-0.213,0.432,15.686,16.541,19.470
-0.104,-0.157,0.362,11.719,25.757,21.057
-0.097,-0.120,0.310,3.662,30.396,17.883
-0.105,-0.038,0.321,0.488,32.166,15.442
-0.165,0.018,0.397,7.202,35.767,9.094
-0.175,-0.030,0.460,14.526,39.307,-1.648
