aX,aY,aZ,gX,gY,gZ
0.070,-0.471,0.226,12.695,-55.542,-11.780
0.027,-0.462,0.132,24.231,-58.228,-26.306
-0.021,-0.483,-0.026,31.616,-54.382,-40.527
-0.029,-0.518,-0.267,28.320,-46.509,-49.744
-0.027,-0.539,-0.456,12.268,-47.119,-52.734
-0.008,-0.499,-0.481,-11.292,-62.378,-48.035
0.048,-0.429,-0.383,-27.649,-82.520,-39.612
0.049,-0.340,-0.262,-28.442,-99.060,-33.142
0.029,-0.310,-0.083,-24.902,-106.995,-29.785
0.022,-0.336,0.114,-23.315,-103.882,-27.954
0.059,-0.387,0.239,-17.090,-84.534,-23.743
0.104,-0.384,0.252,-3.967,-56.091,-12.634
0.103,-0.291,0.153,23.987,-26.794,3.601
0.038,-0.153,-0.041,71.716,3.052,18.921
-0.007,-0.026,-0.236,121.765,25.879,27.588
-0.004,0.109,-0.314,131.836,31.738,28.503
-0.010,0.228,-0.297,120.361,23.865,21.667
0.010,0.343,-0.258,113.586,12.939,9.705
0.016,0.436,-0.221,118.774,3.479,-4.517
0.049,0.545,-0.179,111.511,-5.127,-20.203
0.158,0.639,-0.113,87.219,-12.634,-39.063
0.232,0.679,0.021,59.692,-18.433,-60.730
0.299,0.604,0.192,34.729,-22.217,-78.308
0.373,0.506,0.358,4.578,-20.081,-85.205
0.463,0.494,0.485,-27.954,-9.033,-78.247
0.523,0.553,0.575,-47.974,2.441,-59.265
0.525,0.637,0.635,-49.377,14.282,-35.889
0.513,0.734,0.678,-48.889,26.672,-14.282
0.484,0.826,0.734,-45.715,35.645,3.174
0.470,0.880,0.722,-45.044,44.006,15.198
0.452,1.018,0.923,-49.255,50.415,25.940
0.392,1.159,1.151,-44.556,43.579,33.569
0.350,1.223,1.343,-30.701,47.607,30.701
0.322,1.217,1.371,-9.888,58.899,22.644
0.283,1.143,1.432,4.578,62.195,17.700
0.252,1.031,1.471,-2.991,67.200,13.855
0.233,0.939,1.389,-5.310,78.125,16.785
0.234,0.884,1.266,-5.554,87.219,26.917
0.221,0.856,1.156,-1.526,89.355,40.466
0.176,0.820,1.081,3.296,85.327,53.101
0.134,0.802,1.074,7.690,76.172,62.683
0.071,0.790,1.126,12.451,61.401,67.688
0.014,0.773,1.235,9.644,42.236,67.139
-0.069,0.691,1.375,2.625,24.963,60.669
-0.139,0.562,1.480,-7.751,13.794,51.392
-0.158,0.450,1.548,-21.423,9.033,46.021
-0.154,0.390,1.579,-29.358,8.789,45.471
-0.149,0.352,1.567,-35.767,12.573,45.959
-0.155,0.296,1.500,-37.964,18.799,44.983
-0.182,0.223,1.417,-36.743,23.010,41.992
-0.198,0.173,1.340,-34.607,21.606,39.185
-0.210,0.124,1.287,-35.095,15.320,35.095
-0.228,0.039,1.263,-32.715,6.470,29.663
-0.227,-0.051,1.282,-28.992,-2.563,26.489
-0.242,-0.127,1.322,-22.705,-8.057,29.053
-0.257,-0.159,1.354,-21.362,-6.714,36.865
-0.227,-0.090,1.354,-28.015,-1.648,47.546
-0.141,0.033,1.312,-35.828,4.333,57.007
-0.027,0.163,1.251,-32.288,9.949,59.631
0.066,0.256,1.180,-12.085,10.681,53.223
0.111,0.230,1.132,17.273,5.371,39.307
0.113,0.118,1.137,36.560,-4.395,22.522
0.100,0.015,1.196,41.443,-15.991,9.460
0.076,-0.036,1.261,42.480,-24.414,0.854
0.049,-0.096,1.298,47.180,-27.222,-5.920
0.013,-0.164,1.298,56.580,-25.391,-11.292
-0.016,-0.231,1.272,64.270,-19.836,-13.977
-0.029,-0.270,1.231,66.589,-13.794,-12.512
-0.027,-0.266,1.179,63.782,-7.507,-7.751
-0.018,-0.236,1.106,58.716,-0.244,-2.258
-0.000,-0.182,1.001,53.040,8.850,2.686
0.012,-0.114,0.930,41.382,14.587,6.836
0.017,-0.062,0.897,27.893,16.357,8.057
0.046,-0.046,0.865,16.235,18.555,5.981
0.063,-0.058,0.819,11.841,17.395,4.333
0.068,-0.036,0.788,6.409,11.841,5.066
0.052,0.009,0.824,-3.662,2.930,5.981
0.045,0.043,0.896,-14.221,-4.272,4.089
0.028,0.030,0.951,-15.198,-7.996,0.305
0.016,0.017,0.980,-13.184,-9.216,-1.892
0.004,0.036,1.013,-14.954,-10.742,-2.319
0.005,0.081,1.068,-20.508,-11.597,-2.441
0.003,0.120,1.105,-16.724,-8.179,-3.418
0.007,0.121,1.094,-7.935,-1.770,-5.798
0.011,0.105,1.059,-3.235,5.554,-7.629
0.015,0.097,1.016,-1.892,11.414,-6.958
0.021,0.115,0.981,-1.343,14.954,-4.333
0.009,0.142,0.943,-1.404,17.944,-2.075

-0.262,-0.321,2.104,48.218,-46.265,30.945
-0.223,-0.490,2.018,46.509,-44.434,10.193
-0.175,-0.559,1.918,48.401,-42.969,-4.272
-0.096,-0.711,1.827,43.701,-40.527,-16.174
-0.033,-0.905,1.828,40.283,-36.621,-23.010
0.017,-1.047,1.803,30.762,-29.419,-17.944
0.043,-1.036,1.740,10.925,-22.705,-1.465
0.047,-0.997,1.692,-15.442,-15.991,16.174
0.044,-0.838,1.550,-27.527,-9.216,28.503
0.013,-0.699,1.363,-36.133,-6.226,29.236
0.028,-0.634,1.333,-41.138,-8.911,17.029
0.035,-0.680,1.253,-47.302,-13.367,-2.686
0.140,-0.690,1.201,-60.669,-15.930,-21.179
0.248,-0.690,1.152,-65.125,-20.447,-37.231
0.356,-0.707,1.146,-57.495,-25.574,-49.316
0.452,-0.725,1.136,-52.979,-28.992,-56.641
0.545,-0.704,1.013,-44.189,-25.818,-58.838
0.615,-0.664,0.785,-31.921,-20.813,-57.251
0.628,-0.604,0.664,-17.090,-24.231,-55.115
0.572,-0.626,0.574,-2.747,-30.457,-56.091
0.532,-0.646,0.512,-13.672,-35.034,-59.998
0.458,-0.649,0.480,-23.010,-44.006,-62.988
0.419,-0.629,0.496,-32.471,-49.438,-66.345
0.361,-0.607,0.496,-36.804,-50.598,-69.885
0.356,-0.576,0.447,-35.217,-45.227,-73.608
0.328,-0.570,0.345,-25.330,-35.889,-75.928
0.290,-0.594,0.228,-13.062,-26.733,-76.538
0.259,-0.609,0.010,-12.207,-18.677,-73.303
0.257,-0.565,-0.163,-30.823,-16.235,-65.613
0.232,-0.420,-0.170,-41.809,-26.978,-54.565
0.199,-0.249,-0.084,-41.138,-37.292,-48.523
0.162,-0.161,-0.037,-35.889,-39.673,-51.575
0.134,-0.142,-0.077,-29.297,-35.583,-59.143
0.085,-0.151,-0.147,-23.254,-32.166,-66.040
0.074,-0.098,-0.185,-17.456,-31.921,-70.251
0.086,-0.025,-0.195,-10.010,-33.264,-74.585
0.091,0.048,-0.232,2.014,-34.607,-80.017
0.099,0.095,-0.259,15.381,-37.964,-85.144
0.110,0.098,-0.177,26.733,-46.448,-90.393
0.145,0.064,0.011,34.302,-54.749,-94.116
0.196,0.000,0.216,34.668,-55.603,-93.994
0.221,-0.055,0.383,31.982,-46.936,-87.952
0.209,-0.050,0.501,25.024,-30.090,-75.806
0.181,0.030,0.544,14.526,-6.592,-60.303
0.120,0.187,0.448,8.118,21.179,-46.570
0.099,0.399,0.230,6.470,46.265,-39.124
0.087,0.583,0.011,11.963,57.007,-40.100
