aX,aY,aZ,gX,gY,gZ
-0.751,-1.453,1.405,-9.399,-44.067,57.373
-0.746,-1.461,1.393,-15.930,-48.157,12.756
-0.706,-1.406,1.379,-17.822,-43.640,-11.414
-0.712,-1.420,1.334,-16.296,-32.166,-38.147
-0.683,-1.404,1.273,-15.076,-21.973,-57.983
-0.675,-1.359,1.187,-16.907,-14.343,-59.814
-0.579,-1.292,1.100,-18.127,-5.310,-46.570
-0.551,-1.198,1.013,-18.311,2.747,-31.006
-0.501,-1.122,0.948,-18.066,10.498,-33.875
-0.447,-1.035,0.886,-15.808,18.677,-37.842
-0.373,-0.965,0.809,-9.583,29.724,-41.077
-0.348,-0.924,0.812,-11.719,23.682,-49.927
-0.322,-0.857,0.823,-13.916,16.785,-58.350
-0.303,-0.803,0.845,-15.869,9.399,-66.650
-0.291,-0.763,0.861,-16.174,4.089,-75.134
-0.259,-0.719,0.896,-18.860,-2.075,-86.365
-0.223,-0.675,0.931,-19.043,-5.798,-97.534
-0.203,-0.628,0.991,-16.724,-5.554,-107.361
-0.170,-0.569,1.015,-9.277,3.845,-114.746
-0.144,-0.495,1.000,-1.099,16.296,-119.690
-0.102,-0.434,0.982,1.892,21.362,-123.230
-0.094,-0.343,1.006,0.671,22.705,-125.427
-0.044,-0.239,1.044,-0.122,32.227,-125.977
0.046,-0.098,1.049,0.000,44.128,-122.803
0.156,0.056,1.058,3.479,53.711,-117.371
0.245,0.173,1.071,8.850,62.927,-113.281
0.334,0.320,1.068,13.306,69.946,-107.422
0.408,0.442,1.044,18.677,75.867,-101.135
0.486,0.607,1.075,24.414,74.097,-95.215
0.567,0.760,1.090,26.184,69.397,-92.590
0.658,0.928,1.117,25.696,58.899,-90.149
0.708,1.113,1.060,22.278,47.180,-89.294
0.722,1.172,1.033,13.428,33.630,-93.201
0.699,1.198,1.031,9.583,15.808,-87.646
0.664,1.187,1.083,8.911,2.991,-74.829
0.648,1.142,1.103,8.667,0.427,-61.035
0.599,1.078,1.111,4.150,-5.859,-47.119
0.506,1.022,1.150,-3.723,-18.738,-33.447
0.434,0.982,1.150,-8.850,-22.827,-21.729
0.413,0.910,1.118,-11.414,-21.057,-12.085
0.333,0.899,1.083,-8.972,-14.343,7.507
0.327,0.868,1.039,-8.484,-9.460,15.381
0.352,0.841,1.016,-6.104,-7.507,23.926
0.354,0.793,1.006,-5.737,-8.667,31.921
0.385,0.742,0.984,-5.066,-8.423,40.222
0.402,0.699,0.967,-4.944,-11.597,49.500
0.400,0.635,0.950,-6.104,-17.334,58.472
0.388,0.559,0.937,-8.179,-24.475,66.040
0.346,0.461,0.924,-8.118,-29.175,72.876
0.282,0.348,0.925,-6.165,-29.175,80.017
0.214,0.198,0.971,-2.258,-25.513,85.876
0.131,0.064,1.039,-0.610,-22.705,86.853
-0.063,-0.143,1.135,-2.686,-21.851,81.543
-0.216,-0.316,1.223,-6.531,-18.738,78.552
-0.332,-0.453,1.252,-9.277,-12.146,76.843
-0.344,-0.518,1.209,-13.123,-5.493,74.524
-0.385,-0.573,1.226,-15.625,-2.197,72.876
-0.340,-0.556,1.185,-9.399,7.507,82.886
-0.364,-0.556,1.218,-8.118,7.080,91.370
-0.362,-0.627,1.172,-5.371,17.761,92.712
-0.388,-0.573,1.150,-5.737,24.292,97.900
-0.355,-0.591,1.098,-4.883,22.583,91.980
-0.343,-0.537,1.052,-5.554,18.494,72.205
-0.298,-0.506,1.046,-5.615,7.935,38.635
-0.277,-0.495,1.010,-7.019,-3.174,5.859
-0.269,-0.452,1.036,-7.202,-12.634,-13.489
-0.219,-0.374,1.060,-4.395,-13.489,-22.034
-0.144,-0.280,1.048,0.244,-5.371,-25.757
-0.086,-0.218,1.033,3.418,-0.854,-31.921
-0.068,-0.150,1.072,4.761,-2.136,-36.804
-0.006,-0.095,1.089,6.714,-0.732,-40.649
0.011,-0.059,1.104,10.620,3.906,-44.434
0.012,-0.041,1.139,12.756,7.080,-46.082
-0.043,-0.093,1.088,13.000,11.719,-44.739
-0.005,-0.073,1.093,6.287,0.183,-25.391
-0.082,-0.047,1.132,-1.343,-12.024,-4.150
-0.085,-0.020,1.113,-7.629,-12.390,-2.808
-0.082,0.001,1.056,-11.597,-7.507,-2.991
-0.088,0.028,1.014,-13.611,-3.601,-2.319
-0.084,0.066,0.990,-14.038,-1.953,-0.916
-0.108,0.087,0.986,-12.268,-1.404,0.610
-0.128,0.083,0.986,-10.437,-1.465,0.183
-0.128,0.092,0.988,-8.301,0.305,0.244
-0.136,0.087,0.986,-5.676,3.540,-0.610
-0.139,0.091,1.001,-2.808,5.493,-1.648
-0.129,0.095,1.031,-0.854,5.615,-3.113
-0.117,0.082,1.055,1.648,8.606,-4.700
-0.121,0.063,1.078,3.479,12.512,-5.066
-0.109,0.056,1.090,3.784,15.137,-4.700
-0.096,0.056,1.104,2.930,14.893,-4.456
-0.094,0.049,1.110,0.671,11.841,-5.615
-0.079,0.051,1.116,-0.732,10.132,-6.592
-0.057,0.050,1.122,-0.854,9.827,-5.859
-0.040,0.057,1.128,-0.732,8.240,-4.761
-0.037,0.047,1.125,-1.465,4.639,-4.578
-0.037,0.043,1.128,-1.160,1.587,-4.333
-0.034,0.039,1.133,-0.977,-0.854,-4.089
-0.035,0.036,1.130,-1.282,-2.441,-3.723
-0.039,0.031,1.118,-1.221,-2.441,-3.235

0.634,1.645,1.020,16.174,-33.142,-57.922
0.781,1.602,1.213,41.504,-57.800,-54.504
0.963,1.523,1.368,52.124,-74.524,-38.879
0.914,1.423,1.486,40.405,-84.412,-18.311
0.883,1.311,1.408,14.282,-82.336,0.793
0.865,1.186,1.268,-10.986,-77.698,21.729
0.849,1.040,1.085,-24.109,-70.618,47.974
0.789,0.872,0.908,-28.076,-64.575,75.073
0.704,0.678,0.736,-22.705,-59.204,96.130
0.510,0.413,0.648,-12.512,-61.279,107.178
0.296,0.163,0.668,-4.456,-71.838,115.723
0.085,-0.101,0.793,-5.737,-88.196,113.403
-0.199,-0.383,1.014,-14.282,-103.333,93.689
-0.463,-0.664,1.228,-19.592,-92.468,78.125
-0.562,-0.896,1.245,-12.451,-52.551,101.074
-0.677,-0.946,1.220,-3.967,-16.113,140.686
-0.701,-1.045,1.170,3.174,12.878,149.780
-0.640,-1.123,1.149,6.348,29.846,140.198
-0.547,-1.155,1.152,6.104,33.142,122.559
-0.513,-1.211,1.210,3.235,24.841,99.487
-0.546,-1.265,1.294,-1.831,16.968,71.716
-0.589,-1.355,1.333,-8.972,13.916,43.640
-0.639,-1.407,1.322,-15.137,11.719,24.902
-0.672,-1.440,1.274,-19.592,13.245,10.254
-0.650,-1.450,1.189,-21.118,19.165,-2.808
-0.661,-1.448,1.118,-22.278,23.193,-15.747
-0.642,-1.409,0.996,-18.127,31.494,-22.278
-0.642,-1.341,0.896,-14.587,33.081,-22.400
-0.657,-1.294,0.787,-8.118,31.372,-24.597
-0.714,-1.275,0.720,-2.991,26.184,-31.128
-0.756,-1.275,0.710,-1.587,19.165,-43.701
-0.763,-1.274,0.793,-1.648,10.254,-62.317
-0.737,-1.249,0.883,-1.465,4.883,-78.735
-0.646,-1.221,0.957,-1.465,6.653,-94.971
-0.543,-1.174,1.013,-2.197,10.315,-108.948
-0.428,-1.137,1.021,-2.686,13.550,-119.507
-0.317,-1.067,1.004,-1.770,17.578,-126.953
-0.188,-0.932,1.000,-1.709,22.339,-131.714
-0.110,-0.792,0.981,-0.610,26.733,-132.751
-0.044,-0.602,0.958,-1.099,30.151,-127.808
0.024,-0.347,0.955,-3.723,33.508,-117.676
0.084,-0.108,0.951,-5.493,42.480,-110.352
